name,followers,followings,follow ratio,muters,reputation,effective sp,own sp,sp ratio,curation_rewards,posting_rewards,witnesses_voted_for,posts,average_post_len,comments,average_comment_len,comments_with_link_ratio,posts_to_comments_ratio,class
kasperx1,140,0,0.0,0,25.0,15.05732254566575,0.10038256596427975,149.9993788864071,0.0,0.0,0,2,308,0,0,0,0,0
sutanci,116,43,0.3706896551724138,0,44.734188683414004,5.83771457357197,4.8343631788972035,1.2075457216484193,0.004,9.369,0,0,0,0,0,0,0,0
saqib55,204,8,0.0392156862745098,0,9.796061864609527,15.015666578892533,0.8396009739824492,17.884289137575987,0.0,1.469,0,20,1408,2,6,0E-14,10.0,0
vojtex,357,163,0.4565826330532213,4,50.45674148329493,37.92833766376779,37.92833766376779,1.0,0.099,45.681,30,298,1657,664,103,0.03313253012048,0.44879518072289154,0
jaff8,1295,27,0.02084942084942085,9,64.66415629563147,2700.8454694693933,2800.9386270283794,0.9642644231497572,257.115,2344.322,18,5,3650,354,215,0E-14,0.014124293785310734,0
arabson1990,332,53,0.15963855421686746,1,54.49936001190646,155.16577228448043,155.16577228448043,1.0,9.703,149.526,10,29,7273,131,140,0.09923664122137,0.22137404580152673,0
sensorycznyswiat,49,18,0.3673469387755102,0,43.17615409507406,15.10452037340976,14.06545161660254,1.0738738282374616,0.032,8.606,0,1,6259,0,0,0,0,0
lukasjanik,21,3,0.14285714285714285,0,25.0,5.025577907207942,0.5065922409125266,9.920360995177004,0.0,0.031,0,0,0,0,0,0,0,0
koltci,570,72,0.12631578947368421,2,56.51302059508453,505.18775380499847,505.18775380499847,1.0,8.698,333.86,0,30,1889,480,340,0.02916666666666,0.0625,0
cabernet,616,72,0.11688311688311688,1,53.511420255578386,316.3163754299516,330.9734489826287,0.9557152587383334,33.902,143.203,6,2,1264,9,56,0E-14,0.2222222222222222,0
kingword,265,86,0.32452830188679244,0,50.03142765367986,27.688755270303986,27.688755270303986,1.0,0.109,54.618,0,33,781,81,28,0.07407407407407,0.4074074074074074,0
