name,followers,followings,follow ratio,muters,reputation,effective sp,own sp,sp ratio,curation_rewards,posting_rewards,witnesses_voted_for,posts,average_post_len,comments,average_comment_len,comments_with_link_ratio,posts_to_comments_ratio,class
alucare,556,119,0.21402877697841727,1,58.640845377754424,441.7161346328858,441.7161346328858,1.0,21.275,433.544,4,111,630,387,97,0.07493540051679,0.2868217054263566,0
ayufitri,644,318,0.4937888198757764,4,46.679334644547055,15.031349188109129,8.926123013898053,1.6839728922293793,0.037,17.479,30,301,1016,717,125,0.05439330543933,0.4198047419804742,0
imh3ll,87,26,0.2988505747126437,0,53.589527141741186,0.5795136931579069,67.930277613157,0.008531007284528812,0.545,132.534,0,0,0,2,24,0E-14,0.0,0
andeladenaro,205,75,0.36585365853658536,0,56.414916095115586,99.38178465638553,99.38178465638553,1.0,0.158,195.882,1,0,0,0,0,0,0,0
shenoy,1225,1576,1.286530612244898,3,65.41659280504396,2577.684757551207,2063.983516788419,1.248888247694009,46.552,2581.548,0,88,568,41,34,0.04878048780487,2.1463414634146343,0
tidylive,542,70,0.12915129151291513,2,64.583379878843,825.2582888069422,825.2582888069422,1.0,18.131,1891.259,1,88,496,61,99,0.24590163934426,1.4426229508196722,0
arpita182,26,0,0.0,0,27.253055223934567,15.056963553513595,0.17316636472505953,86.95085548177849,0.0,0.143,0,0,0,0,0,0,0,0
world-of-music,45,1,0.022222222222222223,5,15.326558241200143,5.00805593404504,0.10067319777891426,49.74567257755236,0.0,0.0,0,0,0,0,0,0,0,0
mirnasahara,1145,2038,1.7799126637554585,2,47.7500572476912,15.63194888820791,15.63194888820791,1.0,0.128,29.303,0,46,74,12,29,0E-14,3.8333333333333335,0
haveaniceday,57,2,0.03508771929824561,0,42.55067250241071,0.8587180222925892,0.8587180222925892,1.0,0.0,2.137,0,0,0,0,0,0,0,0
blackhypnotik,513,70,0.1364522417153996,4,61.57059954502618,455.9380754136538,455.9380754136538,1.0,5.423,893.037,1,189,955,70,372,0.67142857142857,2.7,0
openingiszwagra,207,42,0.2028985507246377,0,25.0,15.054297542848234,0.10036235796752728,149.9994405045677,0.001,0.0,0,47,395,7,28,0E-14,6.714285714285714,0
swelker101,1610,131,0.08136645962732919,13,63.24555847603623,1681.7170069824667,5831.53804236389,0.2883830980378482,61.037,1845.328,26,45,731,52,106,0.05769230769230,0.8653846153846154,0
phoneinf,1032,19,0.018410852713178296,14,65.77828147969609,6021.037027706557,2418.0634340672927,2.490024431484371,50.373,1789.77,7,451,659,1573,184,0.05276541640178,0.2867132867132867,0
spawn09,989,93,0.09403437815975733,6,62.88224232889921,125.31784863755404,125.31784863755404,1.0,10.626,1736.275,0,240,598,65,32,0.01538461538461,3.6923076923076925,0
dschense,112,34,0.30357142857142855,1,28.76897273777412,5.017238282597204,0.6376830277526586,7.867918800158605,0.012,0.233,0,0,0,0,0,0,0,0
brainpod,310,187,0.603225806451613,0,53.06290421666901,34.07024386545892,34.07024386545892,1.0,0.047,77.218,2,44,1219,64,123,0.03125000000000,0.6875,0
jezieshasan,350,216,0.6171428571428571,1,42.95329141406505,6.7098931632591965,5.705882113898975,1.175960706744107,0.447,12.838,0,0,0,0,0,0,0,0
hmagellan,453,169,0.3730684326710817,0,45.28335063950323,10.042391256911198,689.1537126974839,0.014572062911194795,0.596,30.575,0,0,0,3,224,0E-14,0.0,0
marishkamoon,191,1,0.005235602094240838,0,35.302759242447415,13.260831886779831,13.260831886779831,1.0,0.0,1.042,0,24,311,0,0,0,0,0
xee-shan,198,8,0.04040404040404041,0,52.2540909374086,36.66877047208971,36.66877047208971,1.0,0.076,72.899,0,27,1516,3,44,0E-14,9.0,0
marcmichael,300,78,0.26,2,39.739863547918766,15.048644956551865,1.9252101311023613,7.816624644466794,0.001,2.9,0,80,769,2,91,0E-14,40.0,0
ridvanunver,425,53,0.12470588235294118,0,57.34646215736469,112.8659503539794,112.8659503539794,1.0,0.211,265.501,1,86,927,16,62,0.06250000000000,5.375,0
cheaky,1131,48,0.042440318302387266,0,66.09632968496604,1512.1919139327842,1512.1919139327842,1.0,65.84,3511.447,2,71,309,30,27,0E-14,2.3666666666666667,0
dbroze,2385,76,0.031865828092243184,10,66.8491396910247,2073.0226649515835,2073.0226649515835,1.0,56.955,3972.949,0,60,2492,4,88,0.25000000000000,15.0,0
jarendesta,1911,55,0.02878074306645735,6,70.46055700347249,12069.286643918946,12069.286643918946,1.0,235.837,9692.369,0,101,1771,91,68,0E-14,1.10989010989011,0
bitcoinmarketss,628,606,0.964968152866242,3,-1.4453068428515508,14.121906970188492,0.6465009780804583,21.843597224118962,0.007,0.078,3,2,137,1,9,0E-14,2.0,0
revehs,180,0,0.0,0,25.0,15.0518117618403,0.1093081780379858,137.70069204345927,0.0,0.017,0,33,531,0,0,0,0,0
skyshine,504,847,1.6805555555555556,0,52.665926227797286,47.53474369359663,47.53474369359663,1.0,0.118,94.111,1,38,296,4,29,0E-14,9.5,0
adamkokesh,14144,8882,0.6279694570135747,100,73.79243922668371,500205.32131805323,5791.887941372004,86.3630868520503,4782.833,22908.451,0,127,2114,23,122,0.04347826086956,5.521739130434782,0
dicky-wd,261,73,0.2796934865900383,0,28.562688709536516,15.009471538315497,0.6457363273415418,23.243963368312574,0.009,0.681,0,1,274,0,0,0,0,0
sadikemrah,653,1399,2.1424196018376724,0,57.35664771377858,60.19503458201933,60.19503458201933,1.0,0.689,248.909,1,1,567,1,54,0E-14,1.0,0
kikima,497,81,0.16297786720321933,0,49.406890059847875,10.976152939646752,21.01135135305943,0.5223915756398283,0.064,33.311,0,9,4284,166,91,0.26506024096385,0.05421686746987952,0
matematikciemre,705,54,0.07659574468085106,3,57.092477920333174,14.63389376805063,14.63389376805063,1.0,3.955,260.519,23,20,1468,87,73,0.04597701149425,0.22988505747126436,0
andreistalker,1565,662,0.4230031948881789,7,59.819314740068776,228.8693083323344,242.94701575285612,0.9420544130706977,1.887,488.215,30,3,4599,16,25,0.06250000000000,0.1875,0
zuldifiyanti,225,11,0.04888888888888889,0,49.666394230715696,13.021287539510217,13.021287539510217,1.0,0.0,31.408,0,34,421,4,14,0E-14,8.5,0
curiousprimate,43,2,0.046511627906976744,0,32.444857826814626,15.037442340176204,0.5253045568374038,28.626141053694884,0.0,0.944,0,0,0,0,0,0,0,0
themarhio,254,44,0.1732283464566929,2,52.28170269292542,38.13340955958874,38.13340955958874,1.0,0.124,74.524,0,68,1442,6,113,0E-14,11.333333333333334,0
barretts-stuff,219,13,0.0593607305936073,0,25.0,5.020073763573777,0.5392914661288218,9.30864676871156,0.0,0.107,0,0,0,0,0,0,0,0
nauralatifa,132,54,0.4090909090909091,1,39.713158040368874,5.010094536572103,1.6793593020448996,2.9833368776243883,0.038,4.846,1,0,0,0,0,0,0,0
urbanawp,38,2,0.05263157894736842,2,37.79345369162128,5.020007988768392,0.7174154544687992,6.997351335963889,0.0,3.564,0,0,0,0,0,0,0,0
jeksaturday,592,19,0.03209459459459459,0,60.3497139278416,92.43065528381197,92.43065528381197,1.0,2.263,706.863,1,57,649,7,52,0E-14,8.142857142857142,0
buniaandbella,272,20,0.07352941176470588,5,42.362416007155744,13.674978304894038,4.48396943032879,3.049748335124424,0.061,8.162,0,70,354,0,0,0,0,0
organik,1007,682,0.6772591857000994,1,60.343931973412666,260.1400978849591,260.1400978849591,1.0,4.595,711.941,4,75,2412,50,162,0.08000000000000,1.5,0
graceleon,755,191,0.25298013245033113,1,56.29857092488948,96.82626743741122,96.82626743741122,1.0,1.123,187.364,0,81,1808,234,230,0.15811965811965,0.34615384615384615,0
rabbi18,921,315,0.34201954397394135,8,48.726655661826115,32.17940841707798,32.17940841707798,1.0,0.136,60.428,2,141,55,4,52,0.50000000000000,35.25,0
thegrymek,47,3,0.06382978723404255,1,38.672175594374764,5.013617650098635,2.551750769851494,1.9647756000835523,0.037,3.945,0,0,0,0,0,0,0,0
